rule_group,key,role,category,value,unit,source,rule,applies_to,quality_status,comment
category_revenue_coefficient,category_1,all_shift_roles,1,10,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed,"Higher coefficient receives a larger share of revenue percentage pool"
category_revenue_coefficient,category_2,all_shift_roles,2,7.5,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed,""
category_revenue_coefficient,category_3,all_shift_roles,3,5,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed,""
category_revenue_coefficient,category_4,all_shift_roles,4,2.5,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed,""
category_revenue_coefficient,category_5,all_shift_roles,5,0,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed,"Receives base shift pay where role/category rate exists but no revenue-share coefficient"
category_revenue_coefficient,category_6,all_shift_roles,6,0,coefficient_points,Исходные данные!G:H,"category lookup used by Исходные данные!D and Расчет коэффициентов","revenue_share_distribution",confirmed_placeholder,"Used with zero deposit and zero rate in current placeholder rows"
category_default_deposit_required,category_1,all_shift_roles,1,20000,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed,""
category_default_deposit_required,category_2,all_shift_roles,2,15000,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed,""
category_default_deposit_required,category_3,all_shift_roles,3,10000,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed,""
category_default_deposit_required,category_4,all_shift_roles,4,7000,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed,""
category_default_deposit_required,category_5,all_shift_roles,5,7000,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed,""
category_default_deposit_required,category_6,all_shift_roles,6,0,RUB,Исходные данные!G:J,"default deposit requirement by category; employee override may replace it","deposit",confirmed_placeholder,""
category_default_deposit_withholding,category_1,all_shift_roles,1,1000,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed,""
category_default_deposit_withholding,category_2,all_shift_roles,2,1000,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed,""
category_default_deposit_withholding,category_3,all_shift_roles,3,1000,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed,""
category_default_deposit_withholding,category_4,all_shift_roles,4,1000,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed,""
category_default_deposit_withholding,category_5,all_shift_roles,5,1000,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed,""
category_default_deposit_withholding,category_6,all_shift_roles,6,0,RUB,Исходные данные!G:J,"default periodic withholding while collected deposit is below required deposit","deposit",confirmed_placeholder,""
base_shift_rate,Администратор_2,Администратор,2,2200,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Администратор_3,Администратор,3,2000,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Администратор_4,Администратор,4,1800,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Заготовщик_5,Заготовщик,5,2200,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Пиццерист_1,Пиццерист,1,2600,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Пиццерист_2,Пиццерист,2,2200,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Пиццерист_3,Пиццерист,3,2000,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Пиццерист_4,Пиццерист,4,missing,RUB_per_full_12h_shift,Исходные данные!L:N,"historical category exists but no rate row found","base_shift_pay",needs_owner_confirmation,""
base_shift_rate,Пиццерист_5,Пиццерист,5,2000,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Сушист_1,Сушист,1,2800,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Сушист_2,Сушист,2,2400,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Сушист_3,Сушист,3,2200,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Сушист_4,Сушист,4,missing,RUB_per_full_12h_shift,Исходные данные!L:N,"historical category exists but no rate row found","base_shift_pay",needs_owner_confirmation,""
base_shift_rate,Сушист_5,Сушист,5,2000,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Сушист_6,Сушист,6,0,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed_placeholder,""
base_shift_rate,Шаурмист_3,Шаурмист,3,2000,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Шаурмист_4,Шаурмист,4,1800,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
base_shift_rate,Шаурмист_5,Шаурмист,5,1800,RUB_per_full_12h_shift,Исходные данные!L:N,"SUMIFS by role and category in Калькулятор row 14","base_shift_pay",confirmed,""
revenue_threshold,min_revenue_50000,all_shift_roles,n/a,3.5,percent_of_revenue,Исходные данные!P:Q,"Калькулятор row 16 picks threshold by daily revenue","revenue_share_pool",confirmed,""
revenue_threshold,min_revenue_140000,all_shift_roles,n/a,4.5,percent_of_revenue,Исходные данные!P:Q,"Калькулятор row 16 picks threshold by daily revenue","revenue_share_pool",confirmed,""
revenue_threshold,min_revenue_190000,all_shift_roles,n/a,5.5,percent_of_revenue,Исходные данные!P:Q,"Калькулятор row 16 picks threshold by daily revenue","revenue_share_pool",confirmed,""
revenue_threshold,min_revenue_550000,all_shift_roles,n/a,6.5,percent_of_revenue,Исходные данные!P:Q,"Калькулятор row 16 picks threshold by daily revenue","revenue_share_pool",confirmed,""
role_allowance,senior,all_shift_roles,n/a,500,RUB_per_shift,Исходные данные!S:T and Категории и надбавки!N:P,"latest active Старший event adds amount to base shift pay","base_shift_pay",confirmed,"If latest event is Снят с должности the allowance becomes blank"
role_allowance,deputy,all_shift_roles,n/a,300,RUB_per_shift,Исходные данные!S:T and Категории и надбавки!N:P,"latest active Зам event adds amount to base shift pay","base_shift_pay",confirmed,"If latest event is Снят с должности the allowance becomes blank"
role_allowance,extra_hour_selected_days,all_shift_roles,n/a,200,RUB_per_shift,Исходные данные!S:T and Калькулятор row 14,"extra-hour add-on appears in selected weekday columns in calculator","base_shift_pay",confirmed,"Confirm exact weekday/business rule with owner"
role_allowance,overtime_coefficient,all_shift_roles,n/a,1.5,multiplier,Исходные данные!S:T and Калькулятор row 15,"overtime flag multiplies base amount by coefficient","base_shift_pay",needs_owner_confirmation,"Exported calculator layout makes the checkbox/control location ambiguous"
accumulation_fund,tenure_0_5_years,all_shift_roles,n/a,5,percent_of_payable_base,Исходные данные!V:W and Калькулятор row 20,"if tenure >= 0.5 years then accrue fund percentage","accumulation_fund",confirmed,"Paid/forfeited policy comes from owner context; table accrues daily amounts"
accumulation_fund,tenure_1_year,all_shift_roles,n/a,10,percent_of_payable_base,Исходные данные!V:W and Калькулятор row 20,"if tenure >= 1 year then accrue fund percentage","accumulation_fund",confirmed,""
accumulation_fund,tenure_1_5_years,all_shift_roles,n/a,15,percent_of_payable_base,Исходные данные!V:W and Калькулятор row 20,"if tenure >= 1.5 years then accrue fund percentage","accumulation_fund",confirmed,""
deposit_override,override_0_0,individual_employee,n/a,"required 0; withholding 0",RUB,Категории и надбавки!F:H,"employee-specific override takes priority over category default","deposit",confirmed_observed_aggregate,"No names published"
deposit_override,override_7000_2000,individual_employee,n/a,"required 7000; withholding 2000",RUB,Категории и надбавки!F:H,"employee-specific override takes priority over category default","deposit",confirmed_observed_aggregate,"No names published"
deposit_override,override_10000_2000,individual_employee,n/a,"required 10000; withholding 2000",RUB,Категории и надбавки!F:H,"employee-specific override takes priority over category default","deposit",confirmed_observed_aggregate,"No names published"
deposit_override,override_15000_2000,individual_employee,n/a,"required 15000; withholding 2000",RUB,Категории и надбавки!F:H,"employee-specific override takes priority over category default","deposit",confirmed_observed_aggregate,"No names published"
termination_deposit,return_deposit,individual_employee,n/a,Выдать,status,Категории и надбавки!J:L and Штат!P:Q,"if status is Выдать then calculator can create Депозит возврат using collected deposit and payout coefficient","termination",confirmed,"Observed payout coefficient is 100% in current event set"
termination_deposit,forfeit_deposit,individual_employee,n/a,Не выдавать,status,Категории и надбавки!J:L and Штат!P:Q,"if status is Не выдавать then calculator can create Депозит списание","termination",confirmed,"Used as retention/obligation mechanism"
