line_type,source_sheet,source_range_or_formula,meaning,pnl_or_cashflow,increases_employee_balance,decreases_employee_balance,paid_cash,affects_accumulation_fund,affects_deposit,quality_status,comment
Оклад,"Выгрузка; Калькулятор; Зарплата Администрации","Выгрузка!F:F='Оклад'; Калькулятор!B15:I15; Зарплата Администрации!D:F","Основное начисление за смену или административный оклад","P&L payroll accrual",true,false,false,false,false,confirmed_formula,"В персональном отчете увеличивает баланс к выплате; в еженедельных начислениях суммируется по производству."
Процент,"Выгрузка; Калькулятор","Выгрузка!F:F='Процент'; Калькулятор!B16:I16","Процентная/премиальная часть от выручки по порогам","P&L payroll accrual",true,false,false,false,false,confirmed_formula,"В Калькуляторе зависит от выручки, общего коэффициента дня и премиального коэффициента сотрудника."
Премия,"Выгрузка; Калькулятор; Категории и надбавки","Выгрузка!F:F='Премия'; Калькулятор!B17:I17 pulls Категории и надбавки!R:V","Разовая премия/положительная ручная корректировка","P&L payroll accrual",true,false,false,false,false,confirmed_formula,"Комментарий к премии в отчете берется из Выгрузка!G через VLOOKUP; несколько комментариев за дату могут схлопнуться."
Больничные и отпуска и пособия,"Выгрузка; Калькулятор; Категории и надбавки","Выгрузка!F:F='Больничные и отпуска и пособия'; Калькулятор!B19:I19 pulls Категории и надбавки!R:V","Начисления за больничные, отпуска и пособия","P&L payroll/benefit accrual",true,false,false,false,false,confirmed_formula,"В отчете увеличивает сумму начислений и баланс к выплате; бизнес-классы внутри строки не разделены."
Накопительный фонд,"Выгрузка; Калькулятор","Выгрузка!F:F='Накопительный фонд'; Калькулятор!B20:I20 = процент от Оклад по стажу из Исходные данные!V:W","Надбавка, которая копится отдельно и не выплачивается в обычной зарплате","P&L accrual / employee liability",false,false,false,true,false,confirmed_with_gap,"Детально показывается в отчете; H7 считает фонд текущего года. B7 не включает фонд в 'К Выплате'. F3 включает фонд в стартовый долг, F4 не включает."
Списание накоплений,Выгрузка,"Выгрузка!F:F='Списание накоплений'; Персональный отчет!H7 subtracts it from current-year fund","Списание/обнуление накопительного фонда","balance adjustment",false,true,false,true,false,observed_register,"Используется только в H7 для расчета накоплений; причина списания и событие увольнения в формулах явно не проверяются."
Депозит возврат,"Выгрузка; Калькулятор; Штат","Выгрузка!F:F='Депозит возврат'; Калькулятор!B25:C25 if Штат!P='Выдать' then collected deposit * coefficient","Возврат депозита сотруднику при разрешенном возврате","deposit liability release / payroll balance accrual",true,false,false,false,true,confirmed_formula,"В персональном отчете увеличивает 'К Выплате'. Фактическая денежная выплата должна проходить отдельной строкой выплат."
Депозит удержание,"Выгрузка; Калькулятор; Штат","Выгрузка!F:F='Депозит удержание'; Калькулятор!B26:C26 uses Штат!O required withholding","Удержание части зарплаты в депозит","employee withholding / deposit build-up",false,true,false,false,true,confirmed_formula,"Уменьшает зарплатный баланс и увеличивает собранный депозит. Требуемая сумма берется из Штат/Исходные данные или персонального override."
Депозит списание,"Выгрузка; Калькулятор; Штат","Выгрузка!F:F='Депозит списание'; Калькулятор!B27:C27 if Штат!P='Не выдавать' then collected deposit","Лишение/списание депозита при невыполнении условий","deposit forfeiture / balance adjustment",false,true,false,false,true,quality_gap,"Тип есть в Выгрузка и Калькуляторе, но не входит в колонки и баланс Персонального отчета. Нужно подтвердить, как показывать в audit trail."
НДФЛ Начислено,Выгрузка,"Выгрузка!F:F='НДФЛ Начислено'; Персональный отчет!M9 hard-codes this type","Начисленный/удерживаемый НДФЛ","tax withholding",false,true,false,false,false,confirmed_formula,"В отчете колонка называется 'Удержание НДФЛ', а в Выгрузке тип называется 'НДФЛ Начислено'."
Штрафы и удержания,"Выгрузка; Калькулятор; Категории и надбавки","Выгрузка!F:F='Штрафы и удержания'; Калькулятор!B21:I21 pulls Категории и надбавки!R:V","Штрафы и прочие удержания","contra payroll / withholding",false,true,false,false,false,confirmed_formula,"Комментарий к штрафу в отчете берется из Выгрузка!G через VLOOKUP."
"Штрафы и удержания",Выгрузка,"Выгрузка!F:F contains same text with non-breaking space","Дубликат типа 'Штрафы и удержания' из-за неразрывного пробела","contra payroll / withholding",false,true,false,false,false,quality_issue,"В персональном отчете ищется обычный пробел, поэтому строки с NBSP могут не попадать в итог."
Штрафы по ревизиям,"Выгрузка; Калькулятор","Выгрузка!F:F='Штрафы по ревизиям'; Калькулятор!B24:C24; Понедельные начисления!H:H","Удержания по результатам ревизий","contra payroll / withholding",false,true,false,false,false,confirmed_formula,"В Калькуляторе зависит от роли сотрудника и флага исключения из ревизии."
Выплата ЗП,Выплаты,"Выплаты!F:F='Выплата ЗП'; imported by IMPORTRANGE blocks","Фактическая денежная выплата зарплаты","cashflow",false,true,true,false,false,confirmed_formula,"Уменьшает задолженность работодателя перед сотрудником; в отчете показывается в колонке N."
Выплата аванса,Выплаты,"Выплаты!F:F='Выплата аванса'; imported by IMPORTRANGE blocks","Фактический денежный аванс","cashflow",false,true,true,false,false,confirmed_formula,"В отчете показывается в колонке O и уменьшает баланс по датам выплат."
Выплата накоплений,Выплаты,"Выплаты!F:F='Выплата накоплений'","Фактическая денежная выплата накопительного фонда","cashflow",false,true,true,true,false,quality_gap,"Тип есть в Выплаты, но не включен в колонки Персонального отчета и не вычитается из H7. Нужно подтвердить связь с выплатой 15 января."
