month,pnl_block,pnl_line,opiu_direction,value,sign,source_type,source_file,source_row_or_field,status,notes
2026-02,Выручка,Возвраты клиентам (с минусом),Общее,0.00,-,bank_tbank,research/processed/cashflow/dds_by_article_2026.csv,pnl_line=Возвраты клиентам (с минусом); abs(net_total),confirmed_zero,DDS aggregate by article; amount stored as absolute refund reducer.
2026-02,Выручка,Выручка без учета скидок Гагарина,Бар,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка без учета скидок Гагарина,ГЦ,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка без учета скидок Гагарина,Пицца,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка без учета скидок Гагарина,Роллы,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка без учета скидок Черникова,Бар,69239.00,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_without_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка без учета скидок Черникова,ГЦ,536244.00,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_without_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка без учета скидок Черникова,Пицца,1287464.00,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_without_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка без учета скидок Черникова,Роллы,2614845.00,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_without_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка с учетом скидок Гагарина,Бар,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка с учетом скидок Гагарина,ГЦ,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка с учетом скидок Гагарина,Пицца,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка с учетом скидок Гагарина,Роллы,0.00,+,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Выручка,Выручка с учетом скидок Черникова,Бар,59271.72,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_with_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка с учетом скидок Черникова,ГЦ,468410.14,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_with_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка с учетом скидок Черникова,Пицца,1105319.76,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_with_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Выручка с учетом скидок Черникова,Роллы,2200596.20,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,revenue_with_discount,final,Saved preset B1; direction mapped from iiko CookingPlace.
2026-02,Выручка,Комиссия партнерам (с -),Общее,45676.00,-,iiko_partner_report,research/processed/pnl/partner_commissions_2026.csv,commission_value = partner_revenue_with_discount * 20%,final,Канонический источник: iiko OLAP saved preset Отчет о партнерах; commission = сумма со скидкой * 20%. Processed не содержит имя/телефон клиента.
2026-02,Выручка,Скидки (информационно),Бар,9967.28,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,discount_amount,final,Информационная строка; не вычитается второй раз в waterfall.
2026-02,Выручка,Скидки (информационно),ГЦ,67833.86,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,discount_amount,final,Информационная строка; не вычитается второй раз в waterfall.
2026-02,Выручка,Скидки (информационно),Пицца,182144.24,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,discount_amount,final,Информационная строка; не вычитается второй раз в waterfall.
2026-02,Выручка,Скидки (информационно),Роллы,414248.80,+,iiko_revenue_by_direction,research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv,discount_amount,final,Информационная строка; не вычитается второй раз в waterfall.
2026-02,Переменные,Расход продуктов (фудкост) Гагарина,Бар,0.00,-,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Переменные,Расход продуктов (фудкост) Гагарина,ГЦ,0.00,-,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
2026-02,Переменные,Расход продуктов (фудкост) Гагарина,Пицца,0.00,-,requires_owner_review,docs/business-control/pnl-build-methodology.md,historical_gagarina_closed_since_2024,not_applicable,Исторический контур: точка Гагарина не работает с 2024; в P&L 2026 не участвует.
