pnl_block,pnl_line,2026-02,2026-03,2026-04,2026-05,total_4mo,status,source_summary
Выручка,Выручка без учета скидок Гагарина,0.00,0.00,0.00,0.00,0.00,not_applicable,requires_owner_review | docs/business-control/pnl-build-methodology.md
Выручка,Выручка с учетом скидок Гагарина,0.00,0.00,0.00,0.00,0.00,not_applicable,requires_owner_review | docs/business-control/pnl-build-methodology.md
Выручка,Выручка без учета скидок Черникова,4507792.00,4689415.00,3975522.00,2712325.00,15885054.00,partial,iiko_revenue_by_direction | research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv
Выручка,Выручка с учетом скидок Черникова,3833597.82,4006534.78,3326144.31,2277008.90,13443285.81,partial,iiko_revenue_by_direction | research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv
Выручка,Комиссия партнерам (с -),45676.00,50478.00,44926.60,31157.00,172237.60,partial,iiko_partner_report | research/processed/pnl/partner_commissions_2026.csv
Выручка,Возвраты клиентам (с минусом),0.00,2316.91,0.00,619.98,2936.89,partial,bank_tbank | research/processed/cashflow/dds_by_article_2026.csv
Переменные,Расход продуктов (фудкост) Черникова,1208634.78,1227017.12,1033962.20,716116.32,4185730.42,partial,iiko_revenue_by_direction | research/processed/iiko/revenue_by_direction/revenue_by_direction_monthly.csv
Переменные,Расход продуктов (фудкост) Гагарина,0.00,0.00,0.00,0.00,0.00,not_applicable,requires_owner_review | docs/business-control/pnl-build-methodology.md
Прямые постоянные,Зарплата поваров (оклады и удержания),597985.00,606139.00,498745.00,209786.00,1912655.00,requires_recalc,legacy payroll_monthly control; MVP требует Расчет зарплат NEW Свод!C7:C13 role-only export
Прямые постоянные,Результаты инвентаризации коробки д/пиццы,5769.20,2234.69,3488.75,4190.19,15682.83,partial,iiko_inventory | research/processed/iiko/inventory/pnl_line_monthly.csv
Общепроизводственные,Аренда торговой точки Гагарина,0.00,0.00,0.00,0.00,0.00,not_applicable,requires_owner_review | docs/business-control/pnl-build-methodology.md
Общепроизводственные,Аренда торговой точки Черникова,100000.00,100000.00,100000.00,100000.00,400000.00,final,fixed_contract | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Зарплата администраторов,193674.00,218202.00,199692.00,68314.00,679882.00,requires_recalc,legacy payroll_monthly control; MVP требует Расчет зарплат NEW Свод!C7:C13 role-only export
Общепроизводственные,"Премии поваров, шеф-повара, администраторов",197426.00,265888.00,178243.00,71094.00,712651.00,requires_recalc,legacy payroll_monthly control; MVP требует Расчет зарплат NEW Свод!C7:C13 role-only export
Общепроизводственные,Списание продукции и сырья,101694.01,100632.60,91552.95,42238.27,336117.83,partial,iiko_writeoff | research/processed/iiko/ops/writeoff_documents_summary.csv
Общепроизводственные,Результаты ревизии,40255.79,10922.15,-7806.94,-27432.20,15938.80,partial,iiko_inventory | research/processed/iiko/inventory/pnl_line_monthly.csv
Общепроизводственные,Траты на курьерскую службу,268593.00,280132.00,248401.00,143108.00,940234.00,partial,iiko_couriers_pnl_preset | research/processed/economic_block/iiko_pnl_by_preset_rows.csv
Общепроизводственные,Комиссия за эквайринг,4631.20,4044.89,4290.83,680.37,13647.29,partial,bank_sber | research/processed/cashflow/fixed_costs_2026.csv; bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Транспортные услуги,0.00,0.00,0.00,0.00,0.00,confirmed_zero,bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Расходы на питание персонала,0.00,0.00,0.00,0.00,0.00,confirmed_zero,bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Оплата систем автоматизации,100471.00,36270.00,36270.00,0.00,173011.00,requires_recalc,superseded_cash_basis | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Содержание торговых точек,21762.02,24546.21,29733.80,12600.39,88642.42,partial,iiko_incoming_invoice | research/processed/iiko/incoming_invoice/pnl_line_monthly.csv
Общепроизводственные,Аренда склада,5000.00,5000.00,5000.00,5000.00,20000.00,final,fixed_contract | research/processed/cashflow/fixed_costs_2026.csv
Общепроизводственные,Результаты инвентаризации упаковки (кроме коробок для пиццы),-33516.26,-28414.92,-39327.36,-22050.61,-123309.15,partial,iiko_inventory | research/processed/iiko/inventory/pnl_line_monthly.csv
Общепроизводственные,Вспомогательные товары(учет по факту оплаты),16773.46,13215.00,7967.21,5711.39,43667.06,partial,iiko_incoming_invoice | research/processed/iiko/incoming_invoice/pnl_line_monthly.csv
Административные,Зарплата администрации,302000.00,302000.00,302000.00,221000.00,1127000.00,requires_recalc,legacy payroll_monthly control; MVP требует Расчет зарплат NEW Свод!C7:C13 role-only export
Административные,Коммунальные платежи Гагарина,0.00,0.00,0.00,0.00,0.00,not_applicable,requires_owner_review | docs/business-control/pnl-build-methodology.md
Административные,Коммунальные платежи Черникова,,,,,,source_not_loaded,telegram_ocr_utilities | платежки арендодателя в structured storage; суммы не загружены в processed P&L
Административные,РКО,0.00,0.00,0.00,0.00,0.00,confirmed_zero,bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Административные,Прочие банковские комиссии,23378.40,24628.00,24938.00,19219.00,92163.40,partial,bank_sber | research/processed/cashflow/fixed_costs_2026.csv; bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Административные,Услуги ФД и НК,0.00,0.00,0.00,9000.00,9000.00,partial,bank_tbank | research/processed/cashflow/fixed_costs_2026.csv
Административные,Расходы на персонал,,,,,,source_not_loaded,requires_owner_review | research/processed/cashflow/dds_by_article_2026.csv
