date,opening_balance,inflows_total,outflows_total_abs,net_cashflow,closing_balance,summary_credit_turnover,summary_debit_turnover_abs,transaction_credit_count,transaction_debit_count,summary_credit_count,summary_debit_count,transactions_total,balance_formula_delta,credit_turnover_delta,debit_turnover_delta,transaction_count_delta,status,source_files
2026-02-01,101928.69,108380.01,0.00,108380.01,210308.70,108380.01,0.00,7,0,7,0,7,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-01/summary.json; research/private/sber/statement/2026-02-01/transactions_page_001.json
2026-02-02,210308.70,183835.24,203459.00,-19623.76,190684.94,183835.24,203459.00,7,2,7,2,9,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-02/summary.json; research/private/sber/statement/2026-02-02/transactions_page_001.json
2026-02-03,190684.94,78755.24,269000.00,-190244.76,440.18,78755.24,269000.00,6,1,6,1,7,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-03/summary.json; research/private/sber/statement/2026-02-03/transactions_page_001.json
2026-02-04,440.18,72571.75,0.00,72571.75,73011.93,72571.75,0.00,4,0,4,0,4,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-04/summary.json; research/private/sber/statement/2026-02-04/transactions_page_001.json
2026-02-05,73011.93,80770.00,153000.00,-72230.00,781.93,80770.00,153000.00,8,1,8,1,9,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-05/summary.json; research/private/sber/statement/2026-02-05/transactions_page_001.json
2026-02-06,781.93,86979.78,0.00,86979.78,87761.71,86979.78,0.00,5,0,5,0,5,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-06/summary.json; research/private/sber/statement/2026-02-06/transactions_page_001.json
2026-02-07,87761.71,107237.46,0.00,107237.46,194999.17,107237.46,0.00,7,0,7,0,7,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-07/summary.json; research/private/sber/statement/2026-02-07/transactions_page_001.json
2026-02-08,194999.17,119651.85,0.00,119651.85,314651.02,119651.85,0.00,4,0,4,0,4,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-08/summary.json; research/private/sber/statement/2026-02-08/transactions_page_001.json
2026-02-09,314651.02,168791.51,483000.00,-314208.49,442.53,168791.51,483000.00,7,1,7,1,8,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-09/summary.json; research/private/sber/statement/2026-02-09/transactions_page_001.json
2026-02-10,442.53,47969.16,0.00,47969.16,48411.69,47969.16,0.00,5,0,5,0,5,0.00,0.00,0.00,0,ok,research/private/sber/statement/2026-02-10/summary.json; research/private/sber/statement/2026-02-10/transactions_page_001.json
