period_start,period_end,row_no,statement_date,operation_datetime,direction,operation_kind,amount_rub,commission_rub,commission_vat_rub,gross_amount_estimate,merchant_id,commission_source,operation_code,counterparty_id,counterparty_inn_mask,counterparty_account_mask,purpose_summary
2026-05-13,2026-05-18,1,2026-05-13,2026-05-13T01:08:39,CREDIT,acquiring_inflow,23483.59,319.41,57.59,23803.00,211000343257,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,2,2026-05-13,2026-05-13T02:23:27,CREDIT,acquiring_inflow,9654.65,131.35,23.69,9786.00,211000343218,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,3,2026-05-13,2026-05-13T02:37:40,CREDIT,acquiring_inflow,1456.19,19.81,3.57,1476.00,211000343256,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,4,2026-05-13,2026-05-13T02:51:55,CREDIT,acquiring_inflow,24789.81,337.19,60.80,25127.00,211000343255,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,5,2026-05-13,2026-05-13T15:01:54,CREDIT,sber_payment_contract_inflow,21235.57,443.43,0.00,21679.00,,purpose_retained_payment_acceptance_fee,01,CP0002,******3893,4091...6068,Поступление от ПАО Сбербанк по договору приема платежей; не эквайринг
2026-05-13,2026-05-18,6,2026-05-14,2026-05-14T01:09:25,CREDIT,acquiring_inflow,21540.96,293.04,52.85,21834.00,211000343255,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,7,2026-05-14,2026-05-14T02:24:29,CREDIT,acquiring_inflow,11034.88,150.12,27.08,11185.00,211000343257,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,8,2026-05-14,2026-05-14T02:32:46,CREDIT,acquiring_inflow,1028.02,13.98,2.52,1042.00,211000343258,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,9,2026-05-14,2026-05-14T02:53:31,CREDIT,acquiring_inflow,8040.61,109.39,19.74,8150.00,211000343218,purpose_commission_with_vat,01,CP0001,******3893,3023...7000,Поступление по эквайрингу; комиссия извлечена из назначения платежа
2026-05-13,2026-05-18,10,2026-05-14,2026-05-14T11:19:08,CREDIT,sber_payment_contract_inflow,26533.97,554.03,0.00,27088.00,,purpose_retained_payment_acceptance_fee,01,CP0002,******3893,4091...6068,Поступление от ПАО Сбербанк по договору приема платежей; не эквайринг
