date,operation_count,incoming_count,outgoing_count,unknown_direction_count,incoming_total,outgoing_total_abs,unknown_total_abs,net_total,source
2026-02-01,5,2,3,0,8555.00,249984.38,0.00,-241429.38,T-Bank API /api/v1/statement
2026-02-02,7,0,7,0,0.00,52807.04,0.00,-52807.04,T-Bank API /api/v1/statement
2026-02-03,7,1,6,0,269000.00,298853.24,0.00,-29853.24,T-Bank API /api/v1/statement
2026-02-05,8,1,7,0,153000.00,155844.17,0.00,-2844.17,T-Bank API /api/v1/statement
2026-02-06,1,0,1,0,0.00,1500.00,0.00,-1500.00,T-Bank API /api/v1/statement
2026-02-08,6,3,3,0,30655.00,3807.21,0.00,26847.79,T-Bank API /api/v1/statement
2026-02-09,13,1,12,0,483000.00,235116.69,0.00,247883.31,T-Bank API /api/v1/statement
2026-02-10,9,0,9,0,0.00,262105.49,0.00,-262105.49,T-Bank API /api/v1/statement
2026-02-11,4,1,3,0,1388.22,5180.78,0.00,-3792.56,T-Bank API /api/v1/statement
2026-02-12,1,0,1,0,0.00,6891.01,0.00,-6891.01,T-Bank API /api/v1/statement
2026-02-13,1,0,1,0,0.00,2006.23,0.00,-2006.23,T-Bank API /api/v1/statement
2026-02-15,10,3,7,0,106053.00,25224.98,0.00,80828.02,T-Bank API /api/v1/statement
2026-02-16,24,2,22,0,661159.00,402220.22,0.00,258938.78,T-Bank API /api/v1/statement
2026-02-17,4,0,4,0,0.00,370018.43,0.00,-370018.43,T-Bank API /api/v1/statement
2026-02-18,1,0,1,0,0.00,650.00,0.00,-650.00,T-Bank API /api/v1/statement
2026-02-19,3,0,3,0,0.00,20809.01,0.00,-20809.01,T-Bank API /api/v1/statement
2026-02-20,3,0,3,0,0.00,2045.97,0.00,-2045.97,T-Bank API /api/v1/statement
2026-02-23,14,4,10,0,48755.00,20021.13,0.00,28733.87,T-Bank API /api/v1/statement
2026-02-24,15,1,14,0,810000.00,596734.23,0.00,213265.77,T-Bank API /api/v1/statement
2026-02-25,7,1,6,0,1365.00,120836.84,0.00,-119471.84,T-Bank API /api/v1/statement
