category,operation_count,incoming_count,outgoing_count,unknown_direction_count,incoming_total,outgoing_total_abs,unknown_total_abs,net_total,first_date,last_date
budget,3,0,3,0,0.00,300.00,0.00,-300.00,2026-02-25,2026-04-20
cardOperation,184,0,184,0,0.00,439923.94,0.00,-439923.94,2026-02-01,2026-05-18
contragentOutcome,212,0,212,0,0.00,5431979.40,0.00,-5431979.40,2026-02-02,2026-05-19
contragentPeople,21,0,21,0,0.00,3363645.00,0.00,-3363645.00,2026-02-03,2026-05-19
creditPaymentOuter,8,0,8,0,0.00,49651.18,0.00,-49651.18,2026-02-27,2026-05-05
depositFullWithdrawal,5,5,0,0,1327801.83,0.00,0.00,1327801.83,2026-03-03,2026-04-20
fee,61,0,61,0,0.00,26711.69,0.00,-26711.69,2026-02-01,2026-05-18
income,5,5,0,0,7617.01,0.00,0.00,7617.01,2026-03-03,2026-04-20
incomeLoan,7,7,0,0,49651.18,0.00,0.00,49651.18,2026-02-26,2026-05-04
incomePeople,63,63,0,0,9855106.78,0.00,0.00,9855106.78,2026-02-01,2026-05-19
refundIn,3,3,0,0,2936.89,0.00,0.00,2936.89,2026-03-03,2026-05-03
selfTransferOuter,7,0,7,0,0.00,1404385.83,0.00,-1404385.83,2026-02-01,2026-04-21
tax,5,0,5,0,0.00,736428.79,0.00,-736428.79,2026-02-25,2026-04-27
